"rgn_id","stock_id","taxon_key","year","catch","score","gapfilled","method"
1,"Cheilodactylus_variegatus-87",600461,2000,0.9,NA,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2000,2.7,NA,1,"Mean gapfilled"
1,"Isacia_conceptionis-87",600397,2000,2.7,NA,1,"Mean gapfilled"
1,"Sardinops_sagax-87",601477,2000,27,NA,1,"Mean gapfilled"
1,"Scomber_japonicus-87",600117,2000,101.7,NA,1,"Mean gapfilled"
1,"Trachurus_murphyi-87",600367,2000,473.4,NA,1,"Mean gapfilled"
1,"Cheilodactylus_variegatus-87",600461,2001,8.1,0.845589125,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2001,19.8,0.88882,0,NA
1,"Isacia_conceptionis-87",600397,2001,72.9,0.6667495,0,NA
1,"Sardinops_sagax-87",601477,2001,128.7,0.8921505,0,NA
1,"Scomber_japonicus-87",600117,2001,1706.625,0.9346365,0,NA
1,"Trachurus_murphyi-87",600367,2001,19163.475,0.845589125,1,"Mean gapfilled"
1,"Cheilodactylus_variegatus-87",600461,2002,0.9,0.87601375,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2002,1.8,0.9367765,0,NA
1,"Isacia_conceptionis-87",600397,2002,279,0.690305,0,NA
1,"Sardinops_sagax-87",601477,2002,335.7,0.920779,0,NA
1,"Scomber_japonicus-87",600117,2002,1436.4,0.9561945,0,NA
1,"Trachurus_murphyi-87",600367,2002,14010.3,0.87601375,1,"Mean gapfilled"
1,"Cheilodactylus_variegatus-87",600461,2003,8.1,0.900192125,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2003,0,0.9249005,0,NA
1,"Isacia_conceptionis-87",600397,2003,36,0.7355435,0,NA
1,"Sardinops_sagax-87",601477,2003,260.1,0.9569015,0,NA
1,"Scomber_japonicus-87",600117,2003,1746,0.983423,0,NA
1,"Trachurus_murphyi-87",600367,2003,2403,0.900192125,1,"Mean gapfilled"
1,"Cheilodactylus_variegatus-87",600461,2004,0,0.923460125,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2004,0,0.908012,0,NA
1,"Isacia_conceptionis-87",600397,2004,9,0.7869375,0,NA
1,"Sardinops_sagax-87",601477,2004,221.4,0.998891,0,NA
1,"Scomber_japonicus-87",600117,2004,817.2,1,0,NA
1,"Trachurus_murphyi-87",600367,2004,1227.6,0.923460125,1,"Mean gapfilled"
1,"Cheilodactylus_variegatus-87",600461,2005,0,0.9290655,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2005,0,0.8898165,0,NA
1,"Isacia_conceptionis-87",600397,2005,36.9,0.8264455,0,NA
1,"Sardinops_sagax-87",601477,2005,216.9,1,0,NA
1,"Scomber_japonicus-87",600117,2005,581.4,1,0,NA
1,"Trachurus_murphyi-87",600367,2005,358.2,0.9290655,1,"Mean gapfilled"
1,"Cetengraulis_mysticetus-87",600548,2006,0,0.70319,0,NA
1,"Cheilodactylus_variegatus-87",600461,2006,0,0.86435818,1,"Mean gapfilled"
1,"Decapterus_macrosoma-87",601938,2006,0.0522,0.86435818,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2006,0,0.907085,0,NA
1,"Isacia_conceptionis-87",600397,2006,21.6,0.853248,0,NA
1,"Opisthonema_libertate-87",601484,2006,0.3375,0.86435818,1,"Mean gapfilled"
1,"Sardinops_sagax-87",601477,2006,0,0.9405858,0,NA
1,"Scomber_japonicus-87",600117,2006,490.5,0.9176821,0,NA
1,"Trachurus_murphyi-87",600367,2006,909.9,0.86435818,1,"Mean gapfilled"
1,"Cetengraulis_mysticetus-87",600548,2007,0,0.707374,0,NA
1,"Cheilodactylus_variegatus-87",600461,2007,1.8,0.84833598,1,"Mean gapfilled"
1,"Decapterus_macrosoma-87",601938,2007,8.9235,0.84833598,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2007,0,0.9157535,0,NA
1,"Isacia_conceptionis-87",600397,2007,72,0.8599795,0,NA
1,"Opisthonema_libertate-87",601484,2007,0,0.84833598,1,"Mean gapfilled"
1,"Sardinops_sagax-87",601477,2007,0,0.9084025,0,NA
1,"Scomber_japonicus-87",600117,2007,671.4,0.8501704,0,NA
1,"Trachurus_murphyi-87",600367,2007,934.2,0.84833598,1,"Mean gapfilled"
1,"Cetengraulis_mysticetus-87",600548,2008,0,0.7117385,0,NA
1,"Cheilodactylus_variegatus-87",600461,2008,0,0.83366302,1,"Mean gapfilled"
1,"Decapterus_macrosoma-87",601938,2008,109.5084,0.83366302,1,"Mean gapfilled"
1,"Ethmidium_maculatum-87",601593,2008,0.9,0.943249,0,NA
1,"Isacia_conceptionis-87",600397,2008,101.7,0.844035,0,NA
