rgn_id,stock_id_taxonkey,year,catch
1,Cheilodactylus_variegatus-87_600461,2000,0.9
1,Ethmidium_maculatum-87_601593,2000,2.7
1,Isacia_conceptionis-87_600397,2000,2.7
1,Sardinops_sagax-87_601477,2000,27
1,Scomber_japonicus-87_600117,2000,101.7
1,Trachurus_murphyi-87_600367,2000,473.4
1,Cheilodactylus_variegatus-87_600461,2001,8.1
1,Ethmidium_maculatum-87_601593,2001,19.8
1,Isacia_conceptionis-87_600397,2001,72.9
1,Sardinops_sagax-87_601477,2001,128.7
1,Scomber_japonicus-87_600117,2001,1706.625
1,Trachurus_murphyi-87_600367,2001,19163.475
1,Cheilodactylus_variegatus-87_600461,2002,0.9
1,Ethmidium_maculatum-87_601593,2002,1.8
1,Isacia_conceptionis-87_600397,2002,279
1,Sardinops_sagax-87_601477,2002,335.7
1,Scomber_japonicus-87_600117,2002,1436.4
1,Trachurus_murphyi-87_600367,2002,14010.3
1,Cheilodactylus_variegatus-87_600461,2003,8.1
1,Ethmidium_maculatum-87_601593,2003,0
1,Isacia_conceptionis-87_600397,2003,36
1,Sardinops_sagax-87_601477,2003,260.1
1,Scomber_japonicus-87_600117,2003,1746
1,Trachurus_murphyi-87_600367,2003,2403
1,Cheilodactylus_variegatus-87_600461,2004,0
1,Ethmidium_maculatum-87_601593,2004,0
1,Isacia_conceptionis-87_600397,2004,9
1,Sardinops_sagax-87_601477,2004,221.4
1,Scomber_japonicus-87_600117,2004,817.2
1,Trachurus_murphyi-87_600367,2004,1227.6
1,Cheilodactylus_variegatus-87_600461,2005,0
1,Ethmidium_maculatum-87_601593,2005,0
1,Isacia_conceptionis-87_600397,2005,36.9
1,Sardinops_sagax-87_601477,2005,216.9
1,Scomber_japonicus-87_600117,2005,581.4
1,Trachurus_murphyi-87_600367,2005,358.2
1,Cetengraulis_mysticetus-87_600548,2006,0
1,Cheilodactylus_variegatus-87_600461,2006,0
1,Decapterus_macrosoma-87_601938,2006,0.0522
1,Ethmidium_maculatum-87_601593,2006,0
1,Isacia_conceptionis-87_600397,2006,21.6
1,Opisthonema_libertate-87_601484,2006,0.3375
1,Sardinops_sagax-87_601477,2006,0
1,Scomber_japonicus-87_600117,2006,490.5
1,Trachurus_murphyi-87_600367,2006,909.9
1,Cetengraulis_mysticetus-87_600548,2007,0
1,Cheilodactylus_variegatus-87_600461,2007,1.8
1,Decapterus_macrosoma-87_601938,2007,8.9235
1,Ethmidium_maculatum-87_601593,2007,0
1,Isacia_conceptionis-87_600397,2007,72
1,Opisthonema_libertate-87_601484,2007,0
1,Sardinops_sagax-87_601477,2007,0
1,Scomber_japonicus-87_600117,2007,671.4
1,Trachurus_murphyi-87_600367,2007,934.2
1,Cetengraulis_mysticetus-87_600548,2008,0
1,Cheilodactylus_variegatus-87_600461,2008,0
1,Decapterus_macrosoma-87_601938,2008,109.5084
1,Ethmidium_maculatum-87_601593,2008,0.9
1,Isacia_conceptionis-87_600397,2008,101.7
1,Opisthonema_libertate-87_601484,2008,6.0399
