rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Calidris alba,22693369,1988,1988,LC
1,Calidris alba,22693369,1989,1988,LC
1,Calidris alba,22693369,1990,1988,LC
1,Calidris alba,22693369,1991,1988,LC
1,Calidris alba,22693369,1992,1988,LC
1,Calidris alba,22693369,1993,1988,LC
1,Calidris alba,22693369,1994,1994,LC
1,Calidris alba,22693369,1995,1994,LC
1,Calidris alba,22693369,1996,1994,LC
1,Calidris alba,22693369,1997,1994,LC
1,Calidris alba,22693369,1998,1994,LC
1,Calidris alba,22693369,1999,1994,LC
1,Calidris alba,22693369,2000,2000,LC
1,Calidris alba,22693369,2001,2000,LC
1,Calidris alba,22693369,2002,2000,LC
1,Calidris alba,22693369,2003,2000,LC
1,Calidris alba,22693369,2004,2000,LC
1,Calidris alba,22693369,2005,2000,LC
1,Calidris alba,22693369,2006,2000,LC
1,Calidris alba,22693369,2007,2000,LC
1,Calidris alba,22693369,2008,2008,LC
1,Calidris alba,22693369,2009,2009,LC
1,Calidris alba,22693369,2010,2009,LC
1,Calidris alba,22693369,2011,2009,LC
1,Calidris alba,22693369,2012,2012,LC
1,Calidris alba,22693369,2013,2012,LC
1,Calidris alba,22693369,2014,2012,LC
1,Calidris alba,22693369,2015,2012,LC
1,Calidris alba,22693369,2016,2016,LC
1,Calidris alba,22693369,2017,2016,LC
1,Calidris alba,22693369,2018,2016,LC
1,Calidris alba,22693369,2019,2016,LC
1,Calidris alba,22693369,2020,2016,LC
1,Phoenicopterus chilensis,22697365,1988,1988,LC
1,Phoenicopterus chilensis,22697365,1989,1988,LC
1,Phoenicopterus chilensis,22697365,1990,1988,LC
1,Phoenicopterus chilensis,22697365,1991,1988,LC
1,Phoenicopterus chilensis,22697365,1992,1988,LC
1,Phoenicopterus chilensis,22697365,1993,1988,LC
1,Phoenicopterus chilensis,22697365,1994,1994,LC
1,Phoenicopterus chilensis,22697365,1995,1994,LC
1,Phoenicopterus chilensis,22697365,1996,1994,LC
1,Phoenicopterus chilensis,22697365,1997,1994,LC
1,Phoenicopterus chilensis,22697365,1998,1994,LC
1,Phoenicopterus chilensis,22697365,1999,1994,LC
1,Phoenicopterus chilensis,22697365,2000,2000,NT
1,Phoenicopterus chilensis,22697365,2001,2000,NT
1,Phoenicopterus chilensis,22697365,2002,2000,NT
1,Phoenicopterus chilensis,22697365,2003,2000,NT
1,Phoenicopterus chilensis,22697365,2004,2004,NT
1,Phoenicopterus chilensis,22697365,2005,2004,NT
1,Phoenicopterus chilensis,22697365,2006,2006,NT
1,Phoenicopterus chilensis,22697365,2007,2006,NT
1,Phoenicopterus chilensis,22697365,2008,2008,NT
1,Phoenicopterus chilensis,22697365,2009,2008,NT
1,Phoenicopterus chilensis,22697365,2010,2008,NT
1,Phoenicopterus chilensis,22697365,2011,2008,NT
1,Phoenicopterus chilensis,22697365,2012,2012,NT
1,Phoenicopterus chilensis,22697365,2013,2012,NT
1,Phoenicopterus chilensis,22697365,2014,2014,NT
1,Phoenicopterus chilensis,22697365,2015,2014,NT
1,Phoenicopterus chilensis,22697365,2016,2016,NT
1,Phoenicopterus chilensis,22697365,2017,2016,NT
1,Phoenicopterus chilensis,22697365,2018,2018,NT
1,Phoenicopterus chilensis,22697365,2019,2018,NT
1,Phoenicopterus chilensis,22697365,2020,2018,NT
1,Sula nebouxii,22696683,1988,1988,LC
1,Sula nebouxii,22696683,1989,1988,LC
1,Sula nebouxii,22696683,1990,1988,LC
1,Sula nebouxii,22696683,1991,1988,LC
1,Sula nebouxii,22696683,1992,1988,LC
1,Sula nebouxii,22696683,1993,1988,LC
1,Sula nebouxii,22696683,1994,1994,LC
1,Sula nebouxii,22696683,1995,1994,LC
1,Sula nebouxii,22696683,1996,1994,LC
1,Sula nebouxii,22696683,1997,1994,LC
1,Sula nebouxii,22696683,1998,1994,LC
1,Sula nebouxii,22696683,1999,1994,LC
1,Sula nebouxii,22696683,2000,2000,LC
1,Sula nebouxii,22696683,2001,2000,LC
1,Sula nebouxii,22696683,2002,2000,LC
1,Sula nebouxii,22696683,2003,2000,LC
1,Sula nebouxii,22696683,2004,2004,LC
1,Sula nebouxii,22696683,2005,2004,LC
1,Sula nebouxii,22696683,2006,2004,LC
1,Sula nebouxii,22696683,2007,2004,LC
1,Sula nebouxii,22696683,2008,2008,LC
1,Sula nebouxii,22696683,2009,2009,LC
1,Sula nebouxii,22696683,2010,2009,LC
1,Sula nebouxii,22696683,2011,2009,LC
1,Sula nebouxii,22696683,2012,2012,LC
1,Sula nebouxii,22696683,2013,2012,LC
1,Sula nebouxii,22696683,2014,2012,LC
1,Sula nebouxii,22696683,2015,2012,LC
1,Sula nebouxii,22696683,2016,2016,LC
1,Sula nebouxii,22696683,2017,2016,LC
1,Sula nebouxii,22696683,2018,2018,LC
1,Sula nebouxii,22696683,2019,2018,LC
1,Sula nebouxii,22696683,2020,2018,LC
1,Otaria byronia,41665,1988,NA,LC
1,Otaria byronia,41665,1989,NA,LC
1,Otaria byronia,41665,1990,NA,LC
1,Otaria byronia,41665,1991,NA,LC
1,Otaria byronia,41665,1992,NA,LC
1,Otaria byronia,41665,1993,NA,LC
1,Otaria byronia,41665,1994,NA,LC
1,Otaria byronia,41665,1995,NA,LC
1,Otaria byronia,41665,1996,1996,LC
1,Otaria byronia,41665,1997,1996,LC
1,Otaria byronia,41665,1998,1996,LC
1,Otaria byronia,41665,1999,1996,LC
1,Otaria byronia,41665,2000,1996,LC
1,Otaria byronia,41665,2001,1996,LC
1,Otaria byronia,41665,2002,1996,LC
1,Otaria byronia,41665,2003,1996,LC
1,Otaria byronia,41665,2004,1996,LC
1,Otaria byronia,41665,2005,1996,LC
1,Otaria byronia,41665,2006,1996,LC
1,Otaria byronia,41665,2007,1996,LC
1,Otaria byronia,41665,2008,2008,LC
1,Otaria byronia,41665,2009,2008,LC
1,Otaria byronia,41665,2010,2008,LC
1,Otaria byronia,41665,2011,2008,LC
1,Otaria byronia,41665,2012,2008,LC
1,Otaria byronia,41665,2013,2008,LC
1,Otaria byronia,41665,2014,2014,LC
1,Otaria byronia,41665,2015,2014,LC
1,Otaria byronia,41665,2016,2016,LC
1,Otaria byronia,41665,2017,2016,LC
1,Otaria byronia,41665,2018,2016,LC
1,Otaria byronia,41665,2019,2016,LC
1,Otaria byronia,41665,2020,2016,LC
1,Chelonia mydas,4615,1988,1988,EN
1,Chelonia mydas,4615,1989,1988,EN
1,Chelonia mydas,4615,1990,1990,EN
1,Chelonia mydas,4615,1991,1990,EN
1,Chelonia mydas,4615,1992,1990,EN
1,Chelonia mydas,4615,1993,1990,EN
1,Chelonia mydas,4615,1994,1994,EN
1,Chelonia mydas,4615,1995,1994,EN
1,Chelonia mydas,4615,1996,1996,EN
1,Chelonia mydas,4615,1997,1996,EN
1,Chelonia mydas,4615,1998,1996,EN
1,Chelonia mydas,4615,1999,1996,EN
1,Chelonia mydas,4615,2000,1996,EN
1,Chelonia mydas,4615,2001,1996,EN
1,Chelonia mydas,4615,2002,1996,EN
1,Chelonia mydas,4615,2003,1996,EN
1,Chelonia mydas,4615,2004,2004,EN
1,Chelonia mydas,4615,2005,2004,EN
1,Chelonia mydas,4615,2006,2004,EN
1,Chelonia mydas,4615,2007,2004,EN
1,Chelonia mydas,4615,2008,2004,EN
1,Chelonia mydas,4615,2009,2004,EN
1,Chelonia mydas,4615,2010,2004,EN
1,Chelonia mydas,4615,2011,2004,EN
1,Chelonia mydas,4615,2012,2004,EN
1,Chelonia mydas,4615,2013,2004,EN
1,Chelonia mydas,4615,2014,2004,EN
1,Chelonia mydas,4615,2015,2004,EN
1,Chelonia mydas,4615,2016,2004,EN
1,Chelonia mydas,4615,2017,2004,EN
1,Chelonia mydas,4615,2018,2004,EN
1,Chelonia mydas,4615,2019,2004,EN
1,Chelonia mydas,4615,2020,2004,EN
1,Mugil cephalus,135567,1988,NA,LC
1,Mugil cephalus,135567,1989,NA,LC
1,Mugil cephalus,135567,1990,NA,LC
1,Mugil cephalus,135567,1991,NA,LC
1,Mugil cephalus,135567,1992,NA,LC
1,Mugil cephalus,135567,1993,NA,LC
1,Mugil cephalus,135567,1994,NA,LC
1,Mugil cephalus,135567,1995,NA,LC
1,Mugil cephalus,135567,1996,NA,LC
1,Mugil cephalus,135567,1997,NA,LC
