iucn_sid;am_sid;sciname;cat_code;pop_trend;spatial_source;rgn_id;rgn_name;n_cells;presence;n_spp_rgn
1086;Rep-455;Amblyrhynchus cristatus;VU;unknown;am;137;Ecuador;16;NA;5057
2811;Chn-ae156111-0d32-4a94-8720-9d7733c99831;Birgus latro;DD;NA;am;137;Ecuador;2;NA;5057
6494;Rep-4381;Dermochelys coriacea;VU;decreasing;am;137;Ecuador;404;NA;5057
6814;Fis-53099;Dunckerocampus dactyliophorus;DD;NA;am;137;Ecuador;36;NA;5057
8407;Fis-25213;Eurypegasus draconis;DD;NA;am;137;Ecuador;38;NA;5057
9266;Fis-152317;Psammogobius biocellatus;LC;stable;am;137;Ecuador;33;NA;5057
10072;Fis-30113;Hippocampus ingens;VU;decreasing;am;137;Ecuador;33;NA;5057
12103;Fis-25001;Liosaccus pachygaster;VU;NA;am;137;Ecuador;54;NA;5057
40715;Fis-25926;Syngnathoides biaculeatus;DD;NA;am;137;Ecuador;38;NA;5057
63573;URM-Cn-5082;Caryophyllia solida;DD;NA;am;137;Ecuador;28;NA;5057
63574;URM-Cn-5114;Concentrotheca vaughani;DD;NA;am;137;Ecuador;22;NA;5057
63575;URM-Cn-5122;Crispatotrochus galapagensis;DD;NA;am;137;Ecuador;41;NA;5057
135567;Fis-29454;Mugil cephalus;LC;stable;am;137;Ecuador;44;NA;5057
154613;Fis-32377;Synaphobranchus affinis;LC;stable;am;137;Ecuador;199;NA;5057
154614;Fis-35123;Pentaceros decacanthus;LC;unknown;am;137;Ecuador;12;NA;5057
154617;Fis-112248;Bryx veleronis;DD;NA;am;137;Ecuador;30;NA;5057
154641;Fis-26433;Gobiodon histrio;LC;unknown;am;137;Ecuador;37;NA;5057
154657;Fis-28683;Bathygobius lineatus;VU;unknown;am;137;Ecuador;43;NA;5057
154660;Fis-25561;Genyagnus monopterygius;LC;stable;am;137;Ecuador;15;NA;5057
154673;Fis-27280;Bathyuroconger vicinus;LC;unknown;am;137;Ecuador;96;NA;5057
154674;Fis-52896;Lampanyctus jordani;LC;unknown;am;137;Ecuador;175;NA;5057
154681;Fis-46980;Oplegnathus insignis;DD;NA;am;137;Ecuador;31;NA;5057
154686;Fis-134462;Dicrolene nigra;LC;unknown;am;137;Ecuador;108;NA;5057
154695;Fis-35267;Luzonichthys earlei;LC;unknown;am;137;Ecuador;17;NA;5057
154698;Fis-50465;Lophodolos indicus;LC;unknown;am;137;Ecuador;372;NA;5057
154712;Fis-22215;Coryphaena hippurus;LC;stable;am;137;Ecuador;405;NA;5057
154714;Fis-132413;Erotelis armiger;DD;NA;am;137;Ecuador;27;NA;5057
154715;Fis-149891;Eustomias vulgaris;LC;unknown;am;137;Ecuador;241;NA;5057
154721;Fis-148339;Sufflamen fraenatum;LC;unknown;am;137;Ecuador;43;NA;5057
154747;Fis-125899;Maurolicus breviculus;LC;unknown;am;137;Ecuador;368;NA;5057
154750;Fis-31271;Sagamichthys abei;LC;unknown;am;137;Ecuador;346;NA;5057
154754;Fis-27037;Mataeocephalus tenuicauda;LC;unknown;am;137;Ecuador;284;NA;5057
154762;Fis-148640;Chlopsis kazuko;DD;NA;am;137;Ecuador;23;NA;5057
154766;Fis-132643;Xestochilus nebulosus;LC;unknown;am;137;Ecuador;17;NA;5057
154781;Fis-32845;Coryphaenoides ariommus;LC;unknown;am;137;Ecuador;6;NA;5057
154817;Fis-58243;Malacoctenus zonogaster;VU;unknown;am;137;Ecuador;18;NA;5057
154820;Fis-29263;Alepisaurus ferox;LC;unknown;am;137;Ecuador;404;NA;5057
154833;Fis-26622;Bothus mancus;LC;stable;am;137;Ecuador;40;NA;5057
154836;Fis-54444;Schindleria praematura;LC;unknown;am;137;Ecuador;36;NA;5057
154840;Fis-130298;Bollmannia stigmatura;DD;NA;am;137;Ecuador;42;NA;5057
154845;Fis-24759;Lyopsetta exilis;LC;stable;am;137;Ecuador;59;NA;5057
154847;Fis-142245;Citharichthys mariajorisae;LC;unknown;am;137;Ecuador;13;NA;5057
154848;Fis-27571;Gnatholepis cauerensis;LC;unknown;am;137;Ecuador;42;NA;5057
154855;Fis-26563;Hippichthys spicifer;LC;unknown;am;137;Ecuador;24;NA;5057
154861;Fis-25058;Istigobius rigilius;LC;unknown;am;137;Ecuador;20;NA;5057
154867;Fis-127056;Sphagemacrurus gibber;DD;NA;am;137;Ecuador;3;NA;5057
154869;Fis-25151;Myctophum spinosum;LC;unknown;am;137;Ecuador;1;NA;5057
154898;Fis-26621;Eviota storthynx;LC;unknown;am;137;Ecuador;38;NA;5057
154906;Fis-22217;Brama dussumieri;LC;unknown;am;137;Ecuador;51;NA;5057
154910;Fis-167297;Apogon neotes;LC;unknown;am;137;Ecuador;6;NA;5057
154916;Fis-50418;Chaenophryne longiceps;LC;unknown;am;137;Ecuador;385;NA;5057
154921;Fis-150446;Liopropoma longilepis;DD;NA;am;137;Ecuador;36;NA;5057
154940;Fis-28586;Pseudanthias pictilis;LC;unknown;am;137;Ecuador;11;NA;5057
154942;Fis-143064;Notarius troschelii;LC;unknown;am;137;Ecuador;38;NA;5057
154952;Fis-25794;Apogonichthys ocellatus;LC;unknown;am;137;Ecuador;21;NA;5057
154958;Fis-62593;Heteroclinus roseus;LC;stable;am;137;Ecuador;11;NA;5057
154959;Fis-32243;Bryaninops amplus;LC;unknown;am;137;Ecuador;31;NA;5057
154969;Fis-120470;Kuronezumia bubonis;LC;unknown;am;137;Ecuador;87;NA;5057
154973;Fis-32457;Bassozetus robustus;LC;unknown;am;137;Ecuador;386;NA;5057
154974;Fis-25039;Xanthichthys mento;LC;unknown;am;137;Ecuador;42;NA;5057
154978;Fis-146598;Apogon indicus;LC;unknown;am;137;Ecuador;14;NA;5057
154982;Fis-28914;Daector dowi;LC;unknown;am;137;Ecuador;16;NA;5057
154992;Fis-28978;Lophiodes caulinaris;LC;unknown;am;137;Ecuador;51;NA;5057
154993;Fis-24922;Pteraclis aesticola;LC;unknown;am;137;Ecuador;38;NA;5057
154996;Fis-28974;Calumia godeffroyi;LC;unknown;am;137;Ecuador;2;NA;5057
154998;Fis-32104;Argyropelecus hemigymnus;LC;stable;am;137;Ecuador;405;NA;5057
