rgn_id,year,a_prot_3nm
6,2000,9176.25
6,2001,9176.25
6,2002,9185.5
6,2003,9188
6,2004,9188
6,2005,9188
6,2006,9188
6,2007,9288.75
6,2008,9754
6,2009,9754
6,2010,9755.5
6,2011,9779
6,2012,9897.5
6,2013,10016.5
6,2014,10016.5
6,2015,10016.5
6,2016,10016.5
6,2017,10016.5
6,2018,10016.5
7,2000,9176.25
7,2001,9176.25
7,2002,9185.5
7,2003,9188
7,2004,9188
7,2005,9188
7,2006,9188
7,2007,9288.75
7,2008,9754
7,2009,9754
7,2010,9755.5
7,2011,9779
7,2012,9897.5
7,2013,10016.5
7,2014,10016.5
7,2015,10016.5
7,2016,10016.5
7,2017,10016.5
7,2018,10016.5
