rgn_id,taxa_code,taxa_group,year,tonnes
6,Blue shrimp_492,SH,1973,5
6,Blue shrimp_492,SH,1974,10
6,Blue shrimp_492,SH,1975,50
6,Blue shrimp_492,SH,1976,100
6,Blue shrimp_492,SH,1977,218
6,Blue shrimp_492,SH,1978,381
6,Blue shrimp_492,SH,1979,980
6,Blue shrimp_492,SH,1980,1578
6,Blue shrimp_492,SH,1981,2177
6,Blue shrimp_492,SH,1982,2776
6,Blue shrimp_492,SH,1983,3375
6,Blue shrimp_492,SH,1984,3360
6,Blue shrimp_492,SH,1985,3020
6,Blue shrimp_492,SH,1986,4363
6,Blue shrimp_492,SH,1987,6915
6,Blue shrimp_492,SH,1988,7776
6,Blue shrimp_492,SH,1989,7227
6,Blue shrimp_492,SH,1990,7784
6,Blue shrimp_492,SH,1991,10117
6,Blue shrimp_492,SH,1992,10134
6,Blue shrimp_492,SH,1993,8547
6,Blue shrimp_492,SH,1994,8873
6,Blue shrimp_492,SH,1995,9000
6,Blue shrimp_492,SH,1996,10000
6,Blue shrimp_492,SH,1997,13270
6,Blue shrimp_492,SH,1998,14400
6,Blue shrimp_492,SH,1999,12000
6,Blue shrimp_492,SH,2000,0
6,Blue shrimp_492,SH,2001,0
6,Blue shrimp_492,SH,2002,0
6,Blue shrimp_492,SH,2003,0
6,Blue shrimp_492,SH,2004,0
6,Blue shrimp_492,SH,2005,0
6,Blue shrimp_492,SH,2006,0
6,Blue shrimp_492,SH,2007,0
6,Blue shrimp_492,SH,2008,0
6,Blue shrimp_492,SH,2009,0
6,Blue shrimp_492,SH,2010,0
6,Blue shrimp_492,SH,2011,0
6,Blue shrimp_492,SH,2012,0
6,Blue shrimp_492,SH,2013,0
6,Blue shrimp_492,SH,2014,0
6,Blue shrimp_492,SH,2015,0
6,Blue shrimp_492,SH,2016,0
6,Red drum_493,F,1999,2372
6,Red drum_493,F,2000,1894
6,Red drum_493,F,2001,1894
6,Red drum_493,F,2002,1894
6,Red drum_493,F,2003,0
6,Red drum_493,F,2004,0
6,Red drum_493,F,2005,0
6,Red drum_493,F,2006,0
6,Red drum_493,F,2007,0
6,Red drum_493,F,2008,0
6,Red drum_493,F,2009,0
6,Red drum_493,F,2010,0
6,Red drum_493,F,2011,0
6,Red drum_493,F,2012,0
6,Red drum_493,F,2013,0
6,Red drum_493,F,2014,0
6,Red drum_493,F,2015,0
6,Red drum_493,F,2016,0
6,Scallops nei_494,BI,1987,3
6,Scallops nei_494,BI,1988,3
6,Scallops nei_494,BI,1989,0.1
6,Scallops nei_494,BI,1990,0.1
6,Scallops nei_494,BI,1991,0.1
6,Scallops nei_494,BI,1992,0.1
6,Scallops nei_494,BI,1993,0.1
6,Scallops nei_494,BI,1994,0.1
6,Scallops nei_494,BI,1995,0.1
6,Scallops nei_494,BI,1996,0.1
6,Scallops nei_494,BI,1997,0.1
6,Scallops nei_494,BI,1998,0.1
6,Scallops nei_494,BI,1999,0.1
6,Scallops nei_494,BI,2000,0.1
6,Scallops nei_494,BI,2001,0.1
6,Scallops nei_494,BI,2002,0
6,Scallops nei_494,BI,2003,0
6,Scallops nei_494,BI,2004,0
6,Scallops nei_494,BI,2005,0
6,Scallops nei_494,BI,2006,0
6,Scallops nei_494,BI,2007,0
6,Scallops nei_494,BI,2008,0
6,Scallops nei_494,BI,2009,0
6,Scallops nei_494,BI,2010,0
6,Scallops nei_494,BI,2011,0
6,Scallops nei_494,BI,2012,0
6,Scallops nei_494,BI,2013,0
6,Scallops nei_494,BI,2014,0
6,Scallops nei_494,BI,2015,0
6,Scallops nei_494,BI,2016,0
6,Whiteleg shrimp_495,SH,1969,10
6,Whiteleg shrimp_495,SH,1970,50
6,Whiteleg shrimp_495,SH,1971,50
6,Whiteleg shrimp_495,SH,1972,200
6,Whiteleg shrimp_495,SH,1973,500
6,Whiteleg shrimp_495,SH,1974,1000
6,Whiteleg shrimp_495,SH,1975,1500
6,Whiteleg shrimp_495,SH,1976,2000
6,Whiteleg shrimp_495,SH,1977,3188
6,Whiteleg shrimp_495,SH,1978,3500
6,Whiteleg shrimp_495,SH,1979,3718
6,Whiteleg shrimp_495,SH,1980,7602
6,Whiteleg shrimp_495,SH,1981,9923
6,Whiteleg shrimp_495,SH,1982,18724
6,Whiteleg shrimp_495,SH,1983,32325
6,Whiteleg shrimp_495,SH,1984,30240
6,Whiteleg shrimp_495,SH,1985,27185
6,Whiteleg shrimp_495,SH,1986,39265
6,Whiteleg shrimp_495,SH,1987,62238
6,Whiteleg shrimp_495,SH,1988,66704
6,Whiteleg shrimp_495,SH,1989,62836
6,Whiteleg shrimp_495,SH,1990,68636
6,Whiteleg shrimp_495,SH,1991,95121
6,Whiteleg shrimp_495,SH,1992,103003
6,Whiteleg shrimp_495,SH,1993,74857
6,Whiteleg shrimp_495,SH,1994,79858
6,Whiteleg shrimp_495,SH,1995,96597
6,Whiteleg shrimp_495,SH,1996,97920
6,Whiteleg shrimp_495,SH,1997,119439
6,Whiteleg shrimp_495,SH,1998,129600
6,Whiteleg shrimp_495,SH,1999,107700
6,Whiteleg shrimp_495,SH,2000,50110
6,Whiteleg shrimp_495,SH,2001,45269
6,Whiteleg shrimp_495,SH,2002,63600
6,Whiteleg shrimp_495,SH,2003,77400
6,Whiteleg shrimp_495,SH,2004,89600
6,Whiteleg shrimp_495,SH,2005,118500
6,Whiteleg shrimp_495,SH,2006,149200
6,Whiteleg shrimp_495,SH,2007,150000
6,Whiteleg shrimp_495,SH,2008,150000
6,Whiteleg shrimp_495,SH,2009,179100
6,Whiteleg shrimp_495,SH,2010,223313
6,Whiteleg shrimp_495,SH,2011,260000
6,Whiteleg shrimp_495,SH,2012,281100
6,Whiteleg shrimp_495,SH,2013,304000
6,Whiteleg shrimp_495,SH,2014,340000
6,Whiteleg shrimp_495,SH,2015,403000
6,Whiteleg shrimp_495,SH,2016,422000
7,Blue shrimp_492,SH,1973,5
7,Blue shrimp_492,SH,1974,10
7,Blue shrimp_492,SH,1975,50
7,Blue shrimp_492,SH,1976,100
7,Blue shrimp_492,SH,1977,218
7,Blue shrimp_492,SH,1978,381
7,Blue shrimp_492,SH,1979,980
7,Blue shrimp_492,SH,1980,1578
7,Blue shrimp_492,SH,1981,2177
7,Blue shrimp_492,SH,1982,2776
7,Blue shrimp_492,SH,1983,3375
7,Blue shrimp_492,SH,1984,3360
7,Blue shrimp_492,SH,1985,3020
7,Blue shrimp_492,SH,1986,4363
7,Blue shrimp_492,SH,1987,6915
7,Blue shrimp_492,SH,1988,7776
7,Blue shrimp_492,SH,1989,7227
7,Blue shrimp_492,SH,1990,7784
7,Blue shrimp_492,SH,1991,10117
7,Blue shrimp_492,SH,1992,10134
7,Blue shrimp_492,SH,1993,8547
7,Blue shrimp_492,SH,1994,8873
7,Blue shrimp_492,SH,1995,9000
7,Blue shrimp_492,SH,1996,10000
7,Blue shrimp_492,SH,1997,13270
7,Blue shrimp_492,SH,1998,14400
7,Blue shrimp_492,SH,1999,12000
7,Blue shrimp_492,SH,2000,0
7,Blue shrimp_492,SH,2001,0
7,Blue shrimp_492,SH,2002,0
7,Blue shrimp_492,SH,2003,0
7,Blue shrimp_492,SH,2004,0
7,Blue shrimp_492,SH,2005,0
