goal,dimension,region_id,score
AO,future,0,92.86
AO,future,6,90.74
AO,future,7,94.97
AO,pressures,6,37.59
AO,pressures,7,35.67
AO,resilience,6,69.19
AO,resilience,7,67.11
AO,score,0,87.19
AO,score,6,85.73
AO,score,7,88.65
AO,status,0,81.53
AO,status,6,80.72
AO,status,7,82.34
AO,trend,6,0.03
AO,trend,7,0.07
BD,future,0,64.55
BD,future,6,61.88
BD,future,7,67.23
BD,pressures,6,
BD,pressures,7,
BD,resilience,6,
BD,resilience,7,
BD,score,0,71.01
BD,score,6,69.77
BD,score,7,72.26
BD,status,0,77.48
BD,status,6,77.66
BD,status,7,77.3
BD,trend,6,-0.5
BD,trend,7,-0.31
CP,future,0,46.71
CP,future,6,37.98
CP,future,7,55.45
CP,pressures,6,51.85
CP,pressures,7,45.87
CP,resilience,6,66.99
CP,resilience,7,48.8
CP,score,0,71.65
CP,score,6,68.97
CP,score,7,74.33
CP,status,0,96.59
CP,status,6,99.96
CP,status,7,93.22
CP,trend,6,-1
CP,trend,7,-0.62
CS,future,0,9.74
CS,future,6,7.4
CS,future,7,12.08
CS,pressures,6,47.99
CS,pressures,7,44.81
CS,resilience,6,54.83
CS,resilience,7,54.83
CS,score,0,15
CS,score,6,14.19
CS,score,7,15.8
CS,status,0,20.26
CS,status,6,20.99
CS,status,7,19.53
CS,trend,6,-1
CS,trend,7,-0.62
CW,future,0,43.7
CW,future,6,41.62
CW,future,7,45.78
CW,pressures,6,72.59
CW,pressures,7,72.59
CW,resilience,6,67
CW,resilience,7,48.25
CW,score,0,45.92
CW,score,6,42
CW,score,7,49.84
CW,status,0,48.14
CW,status,6,42.38
CW,status,7,53.9
CW,trend,6,0
CW,trend,7,-0.1
ECO,future,0,100
ECO,future,6,100
ECO,future,7,100
ECO,pressures,6,49.65
ECO,pressures,7,49.65
ECO,resilience,6,55.19
ECO,resilience,7,55.19
ECO,score,0,97.45
ECO,score,6,100
ECO,score,7,94.89
ECO,status,0,94.89
ECO,status,6,100
ECO,status,7,89.78
ECO,trend,6,0.61
ECO,trend,7,0.34
FIS,future,0,60.68
FIS,future,6,60.66
FIS,future,7,60.69
FIS,pressures,6,34.69
FIS,pressures,7,34.52
FIS,resilience,6,62.88
FIS,resilience,7,62.88
FIS,score,0,58.09
FIS,score,6,58.08
FIS,score,7,58.1
FIS,status,0,55.5
FIS,status,6,55.5
FIS,status,7,55.5
FIS,trend,6,0
FIS,trend,7,0
FP,future,0,79.66
FP,future,6,79.66
FP,future,7,79.67
FP,pressures,6,
FP,pressures,7,
FP,resilience,6,
FP,resilience,7,
FP,score,0,78.33
FP,score,6,78.32
FP,score,7,78.33
FP,status,0,76.99
FP,status,6,76.99
FP,status,7,76.99
FP,trend,6,0.22
FP,trend,7,0.22
HAB,future,0,31.73
HAB,future,6,24.38
HAB,future,7,39.08
HAB,pressures,6,45.55
HAB,pressures,7,41.94
HAB,resilience,6,67.65
HAB,resilience,7,62.78
HAB,score,0,45.93
HAB,score,6,42.43
HAB,score,7,49.42
HAB,status,0,60.13
HAB,status,6,60.49
HAB,status,7,59.77
HAB,trend,6,-1
HAB,trend,7,-0.62
ICO,future,0,72.43
ICO,future,6,72.5
ICO,future,7,72.35
ICO,pressures,6,47.95
ICO,pressures,7,47.95
ICO,resilience,6,65.17
ICO,resilience,7,58.29
ICO,score,0,68.27
ICO,score,6,68.31
ICO,score,7,68.24
ICO,status,0,64.12
ICO,status,6,64.12
ICO,status,7,64.12
ICO,trend,6,0.11
ICO,trend,7,0.14
Index,future,0,63.92
Index,future,6,63.1
Index,future,7,64.73
Index,score,0,66.56
Index,score,6,66.43
Index,score,7,66.69
LE,future,0,100
LE,future,6,100
