goal,element,element_name,po_chemicals,po_chemicals_3nm,po_pathogens,po_nutrients,po_nutrients_3nm,po_trash,sp_alien,sp_genetic,hd_subtidal_sb,hd_intertidal,fp_com_hb,fp_com_lb,fp_art_lb,fp_art_hb,fp_targetharvest,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi,ss_spi
AO,,,,1,,,1,,1,,1,1,2,1,,3,,,,,,1,1
CP,mangrove,,,1,,,1,,,,,3,,,,,,,,,2,1,1
CP,saltmarsh,,,1,,,2,,1,,,3,,,,,,,,,3,1,1
CS,mangrove,,,1,,,1,,,,,3,,,,,,,,,1,1,1
CS,saltmarsh,,,1,,,2,,1,,,3,,,,,,,,,2,1,1
CW,,,,3,2,,3,3,,,,,,,,,,,,,,1,1
ECO,cf,Commercial Fishing,2,,,2,,,1,1,2,1,3,1,1,2,,,,,,1,1
ECO,tour,Tourism,3,,2,,3,3,,,,,,,,,,,,,2,1,1
ECO,tran,Transportation & Shipping,,,,,,,1,,,,,,,,,,,,1,1,
FIS,,,1,,,2,,,1,1,2,1,3,1,1,2,,,,,,1,1
HAB,mangrove,,,1,,,1,,,,,3,,,,,,,,,1,1,1
HAB,saltmarsh,,,1,,,2,,1,,,3,,,,,,,,,2,1,1
HAB,soft_bottom,,,2,,,2,,1,,3,,3,1,1,,,,,,,1,1
ICO,,,,3,,,1,1,1,,,3,2,,,2,2,1,1,,,1,1
LIV,cf,Commercial Fishing,2,,,2,,,1,1,2,1,3,1,1,2,,,,,,1,1
LIV,tour,Tourism,3,,2,,3,3,,,,,,,,,,,,,2,1,1
LIV,tran,Transportation & Shipping,,,,,,,1,,,,,,,,,,,,,1,1
LSP,,,,2,,,2,3,1,,,3,,,,,,,,,1,1,1
MAR,,,2,,,,3,,,,,,,,,,,,,,1,1,1
NP,fish_oil,,2,,,2,,,1,,2,,,2,,,,1,,,,1,1
NP,ornamentals,,2,,,2,,,1,,,,,,1,3,,1,,,,1,1
NP,seaweeds,,2,,,2,,,1,,,1,,,,,,1,,,,1,1
SPP,,,2,,,2,,1,1,1,3,2,3,1,1,2,1,1,1,1,,1,1
TR,,,,3,2,,3,3,,,,,,,,,,,,,2,1,1
