rgn_id,year,pressure_score
1,1993,0.072471528
2,1993,0.072471528
1,1994,0.034153546
2,1994,0.034153546
1,1995,0.003422992
2,1995,0.003422992
1,1996,0.000773269
2,1996,0.000773269
1,1997,0.403356428
2,1997,0.403356428
1,1998,0.148233001
2,1998,0.148233001
1,1999,0.003583808
2,1999,0.003583808
1,2000,0.014953269
2,2000,0.014953269
1,2001,0.014441805
2,2001,0.014441805
1,2002,0.104288564
2,2002,0.104288564
1,2003,0.033905529
2,2003,0.033905529
1,2004,0.057065568
2,2004,0.057065568
1,2005,0.064995984
2,2005,0.064995984
1,2006,0.126214377
2,2006,0.126214377
1,2007,0.003301879
2,2007,0.003301879
1,2008,0.103091632
2,2008,0.103091632
1,2009,0.133104809
2,2009,0.133104809
1,2010,0.052279533
2,2010,0.052279533
1,2011,0.068857463
2,2011,0.068857463
1,2012,0.162299998
2,2012,0.162299998
1,2013,0.110490369
2,2013,0.110490369
1,2014,0.219477154
2,2014,0.219477154
1,2015,0.369403356
2,2015,0.369403356
1,2016,0.220029941
2,2016,0.220029941
1,2017,0.225478866
2,2017,0.225478866
1,2018,0.249377011
2,2018,0.249377011
