rgn_id,stock_id_taxonkey,year,mean_catch
1,Anisotremus_scapularis-87_608255,2000,4
1,Argopecten_purpuratus-87_690303,2000,1409
1,Ariidae-87_400145,2000,0
1,Auxis_rochei-87_600093,2000,1
1,Brotula_clarkae-87_608275,2000,0
1,Calamus-87_501551,2000,19
1,Carcharhinus-87_500816,2000,0
1,Caulolatilus-87_501615,2000,0
1,Cheilodactylus_variegatus-87_600461,2000,1
1,Coryphaena_hippurus-87_600006,2000,21
1,Cynoscion_analis-87_600403,2000,82
1,Doryteuthis_gahi-87_690296,2000,348
1,Dosidicus_gigas-87_690206,2000,115
1,Engraulis_ringens-87_600004,2000,619599
1,Epinephelus-87_500366,2000,1
1,Ethmidium_maculatum-87_601593,2000,3
1,Gastropoda-87_290006,2000,518
1,Gerres_cinereus-87_601054,2000,26
1,Haemulon_steindachneri-87_601142,2000,8
1,Hemiramphus-87_509289,2000,1
1,Isacia_conceptionis-87_600397,2000,3
1,Katsuwonus_pelamis-87_600107,2000,0
1,Larimus_pacificus-87_614009,2000,2
1,Menticirrhus-87_502790,2000,0
1,Merluccius_gayi_peruanus-87_614693,2000,1563
1,Mugil_cephalus-87_600785,2000,790
1,Muraenidae-87_400056,2000,0
1,Mustelus_whitneyi-87_605939,2000,99
1,Myliobatidae-87_400022,2000,896
1,Octopus-87_590013,2000,53
1,Panulirus_gracilis-87_690619,2000,28
1,Paralabrax_humeralis-87_600352,2000,241
1,Paralichthyidae-87_400514,2000,5
1,Paralichthys_adspersus-87_610573,2000,0
1,Paralonchurus_peruanus-87_600424,2000,69
1,Penaeus_californiensis-87_690444,2000,93
1,Peprilus-87_501164,2000,25
1,Perciformes-87_300060,2000,1
1,Pomacentridae-87_400350,2000,0
1,Pteriida-87_490109,2000,25
1,Rhinobatos_planiceps-87_600149,2000,443
1,Sarda_chiliensis-87_600113,2000,10
1,Sardinops_sagax-87_601477,2000,30
1,Sciaenidae-87_400331,2000,197
1,Scomber_japonicus-87_600117,2000,113
1,Scomberomorus_sierra-87_600136,2000,0
1,Scorpaena-87_500134,2000,0
1,Selene_peruviana-87_601958,2000,1
1,Seriola-87_500928,2000,2
1,Seriolella_violacea-87_613020,2000,79
1,Sphyrna_zygaena-87_600917,2000,0
1,Squatina_californica-87_600729,2000,0
1,Trachinotus_paitensis-87_601972,2000,42
1,Trachurus_murphyi-87_600367,2000,526
1,Xiphias_gladius-87_600226,2000,0
1,Anisotremus_scapularis-87_608255,2001,6
1,Argopecten_purpuratus-87_690303,2001,840
1,Ariidae-87_400145,2001,0
1,Auxis_rochei-87_600093,2001,0
1,Brachyura-87_490097,2001,0
1,Brotula_clarkae-87_608275,2001,1
1,Calamus-87_501551,2001,41
1,Carcharhinus-87_500816,2001,0
1,Caulolatilus-87_501615,2001,1
1,Cheilodactylus_variegatus-87_600461,2001,9
1,Cilus_gilberti-87_690627,2001,0
1,Coryphaena_hippurus-87_600006,2001,567
1,Cynoscion_analis-87_600403,2001,959
