rgn_id,product,year,tonnes_rel
1,ornamentals,1976,0.614
1,ornamentals,1977,0.596
1,ornamentals,1978,0.594
1,ornamentals,1979,0.606
1,ornamentals,1980,0.563
1,ornamentals,1981,0.524
1,ornamentals,1982,0.403
1,ornamentals,1983,0.254
1,ornamentals,1984,0.202
1,ornamentals,1985,0.134
1,ornamentals,1986,0.160
1,ornamentals,1987,0.148
1,ornamentals,1988,0.152
1,ornamentals,1989,0.170
1,ornamentals,1990,0.162
1,ornamentals,1991,0.204
1,ornamentals,1992,0.141
1,ornamentals,1993,0.085
1,ornamentals,1994,0.264
1,ornamentals,1995,0.411
1,ornamentals,1996,0.619
1,ornamentals,1997,0.813
1,ornamentals,1998,0.833
1,ornamentals,1999,0.859
1,ornamentals,2000,0.894
1,ornamentals,2001,0.952
1,ornamentals,2002,0.938
1,ornamentals,2003,0.992
1,ornamentals,2004,1.000
1,ornamentals,2005,0.991
1,ornamentals,2006,0.993
1,ornamentals,2007,0.915
1,ornamentals,2008,0.874
1,ornamentals,2009,0.802
1,ornamentals,2010,0.755
1,ornamentals,2011,0.727
1,ornamentals,2012,0.523
1,ornamentals,2013,0.362
1,ornamentals,2014,0.184
1,ornamentals,2015,0.033
1,ornamentals,2016,0.030
1,ornamentals,2017,0.026
2,ornamentals,1976,0.614
2,ornamentals,1977,0.596
2,ornamentals,1978,0.594
2,ornamentals,1979,0.606
2,ornamentals,1980,0.563
2,ornamentals,1981,0.524
2,ornamentals,1982,0.403
2,ornamentals,1983,0.254
2,ornamentals,1984,0.202
2,ornamentals,1985,0.134
2,ornamentals,1986,0.160
2,ornamentals,1987,0.148
2,ornamentals,1988,0.152
2,ornamentals,1989,0.170
2,ornamentals,1990,0.162
2,ornamentals,1991,0.204
2,ornamentals,1992,0.141
2,ornamentals,1993,0.085
2,ornamentals,1994,0.264
2,ornamentals,1995,0.411
2,ornamentals,1996,0.619
2,ornamentals,1997,0.813
2,ornamentals,1998,0.833
2,ornamentals,1999,0.859
2,ornamentals,2000,0.894
2,ornamentals,2001,0.952
2,ornamentals,2002,0.938
2,ornamentals,2003,0.992
2,ornamentals,2004,1.000
2,ornamentals,2005,0.991
2,ornamentals,2006,0.993
2,ornamentals,2007,0.915
2,ornamentals,2008,0.874
2,ornamentals,2009,0.802
2,ornamentals,2010,0.755
2,ornamentals,2011,0.727
2,ornamentals,2012,0.523
2,ornamentals,2013,0.362
2,ornamentals,2014,0.184
2,ornamentals,2015,0.033
2,ornamentals,2016,0.030
2,ornamentals,2017,0.026
