rgn_id,year,product,risk
1,1976,ornamentals,0
2,1976,ornamentals,0
1,1977,ornamentals,0
2,1977,ornamentals,0
1,1978,ornamentals,0
2,1978,ornamentals,0
1,1979,ornamentals,0
2,1979,ornamentals,0
1,1980,ornamentals,0
2,1980,ornamentals,0
1,1981,ornamentals,0
2,1981,ornamentals,0
1,1982,ornamentals,0
2,1982,ornamentals,0
1,1983,ornamentals,0
2,1983,ornamentals,0
1,1984,ornamentals,0
2,1984,ornamentals,0
1,1985,ornamentals,0
2,1985,ornamentals,0
1,1986,ornamentals,0
2,1986,ornamentals,0
1,1987,ornamentals,0
2,1987,ornamentals,0
1,1988,ornamentals,0
2,1988,ornamentals,0
1,1989,ornamentals,0
2,1989,ornamentals,0
1,1990,ornamentals,0
2,1990,ornamentals,0
1,1991,ornamentals,0
2,1991,ornamentals,0
1,1992,ornamentals,0
2,1992,ornamentals,0
1,1993,ornamentals,0
2,1993,ornamentals,0
1,1994,ornamentals,0
2,1994,ornamentals,0
1,1995,ornamentals,0
2,1995,ornamentals,0
1,1996,ornamentals,0
2,1996,ornamentals,0
1,1997,ornamentals,0
2,1997,ornamentals,0
1,1998,ornamentals,0
2,1998,ornamentals,0
1,1999,ornamentals,0
2,1999,ornamentals,0
1,2000,ornamentals,0
2,2000,ornamentals,0
1,2001,ornamentals,0
2,2001,ornamentals,0
1,2002,ornamentals,0
2,2002,ornamentals,0
1,2003,ornamentals,0
2,2003,ornamentals,0
1,2004,ornamentals,0
2,2004,ornamentals,0
1,2005,ornamentals,0
2,2005,ornamentals,0
1,2006,ornamentals,0
2,2006,ornamentals,0
1,2007,ornamentals,0
2,2007,ornamentals,0
1,2008,ornamentals,0
2,2008,ornamentals,0
1,2009,ornamentals,0
2,2009,ornamentals,0
1,2010,ornamentals,0
2,2010,ornamentals,0
1,2011,ornamentals,0
2,2011,ornamentals,0
1,2012,ornamentals,0
2,2012,ornamentals,0
1,2013,ornamentals,0
2,2013,ornamentals,0
1,2014,ornamentals,0
2,2014,ornamentals,0
1,2015,ornamentals,0
2,2015,ornamentals,0
1,2016,ornamentals,0
2,2016,ornamentals,0
1,2017,ornamentals,0
2,2017,ornamentals,0
