layer_name,scenario_year,data_year
ao_access,2015,2019
ao_access,2016,2019
ao_access,2017,2019
ao_access,2018,2019
ao_access,2019,2019
ao_access,2020,2019
ao_need,2007,2007
ao_need,2008,2007
ao_need,2009,2009
ao_need,2010,2009
ao_need,2011,2009
ao_need,2012,2009
ao_need,2013,2013
ao_need,2014,2013
ao_need,2015,2013
ao_need,2016,2013
ao_need,2017,2013
ao_need,2018,2018
ao_need,2019,2018
ao_need,2020,2018
cc_acid,2012,2012
cc_acid,2013,2013
cc_acid,2014,2014
cc_acid,2015,2015
cc_acid,2016,2016
cc_acid,2017,2017
cc_acid,2018,2018
cc_acid,2019,2018
cc_acid,2020,2018
cc_slr,2012,2011
cc_slr,2013,2012
cc_slr,2014,2013
cc_slr,2015,2014
cc_slr,2016,2015
cc_slr,2017,2016
cc_slr,2018,2017
cc_slr,2019,2017
cc_slr,2020,2017
cc_sst,2012,2011
cc_sst,2013,2012
cc_sst,2014,2013
cc_sst,2015,2014
cc_sst,2016,2015
cc_sst,2017,2016
cc_sst,2018,2017
cc_sst,2019,2017
cc_sst,2020,2017
cc_uv,2012,2011
cc_uv,2013,2012
cc_uv,2014,2013
cc_uv,2015,2014
cc_uv,2016,2015
cc_uv,2017,2016
cc_uv,2018,2017
cc_uv,2019,2017
cc_uv,2020,2017
cw_chemical_trend,2016,2020
cw_chemical_trend,2017,2020
cw_chemical_trend,2018,2020
cw_chemical_trend,2019,2020
cw_chemical_trend,2020,2020
cw_nutrient_trend,2016,2016
cw_nutrient_trend,2017,2017
cw_nutrient_trend,2018,2017
cw_nutrient_trend,2019,2017
cw_nutrient_trend,2020,2017
cw_pathogen_trend,2016,2017
cw_pathogen_trend,2017,2017
cw_pathogen_trend,2018,2017
cw_pathogen_trend,2019,2017
cw_pathogen_trend,2020,2017
cw_trash_trend,2016,2017
cw_trash_trend,2017,2017
cw_trash_trend,2018,2017
cw_trash_trend,2019,2017
cw_trash_trend,2020,2017
eco_status,2014,2014
eco_status,2015,2015
eco_status,2016,2016
eco_status,2017,2017
eco_status,2018,2018
eco_status,2019,2019
eco_status,2020,2019
eco_trend,2016,2019
eco_trend,2017,2019
eco_trend,2018,2019
eco_trend,2019,2019
eco_trend,2020,2019
fis_b_bmsy,2001,2001
fis_b_bmsy,2002,2002
fis_b_bmsy,2003,2003
fis_b_bmsy,2004,2004
fis_b_bmsy,2005,2005
fis_b_bmsy,2006,2006
fis_b_bmsy,2007,2007
fis_b_bmsy,2008,2008
fis_b_bmsy,2009,2009
fis_b_bmsy,2010,2010
fis_b_bmsy,2011,2011
