"rgn_id","product","year","gapfilled","method"
1,"corals",2000,1,"prod_average"
2,"corals",2000,1,"prod_average"
1,"corals",2001,1,"prod_average"
2,"corals",2001,1,"prod_average"
1,"corals",2002,1,"prod_average"
2,"corals",2002,1,"prod_average"
1,"corals",2003,1,"prod_average"
2,"corals",2003,1,"prod_average"
1,"corals",2004,1,"prod_average"
2,"corals",2004,1,"prod_average"
1,"corals",2005,1,"prod_average"
2,"corals",2005,1,"prod_average"
1,"corals",2006,0,NA
2,"corals",2006,0,NA
1,"corals",2007,0,NA
2,"corals",2007,0,NA
1,"corals",2008,0,NA
2,"corals",2008,0,NA
1,"corals",2009,0,NA
2,"corals",2009,0,NA
1,"corals",2010,0,NA
2,"corals",2010,0,NA
1,"corals",2011,0,NA
2,"corals",2011,0,NA
1,"corals",2012,0,NA
2,"corals",2012,0,NA
1,"corals",2013,0,NA
2,"corals",2013,0,NA
1,"corals",2014,0,NA
2,"corals",2014,0,NA
1,"corals",2015,0,NA
2,"corals",2015,0,NA
1,"corals",2016,0,NA
2,"corals",2016,0,NA
1,"corals",2017,0,NA
2,"corals",2017,0,NA
1,"corals",2018,0,NA
2,"corals",2018,0,NA
1,"corals",2019,0,NA
2,"corals",2019,0,NA
1,"seaweeds",2000,1,"prod_average"
2,"seaweeds",2000,1,"prod_average"
1,"seaweeds",2001,1,"prod_average"
2,"seaweeds",2001,1,"prod_average"
1,"seaweeds",2002,1,"prod_average"
2,"seaweeds",2002,1,"prod_average"
1,"seaweeds",2003,1,"prod_average"
2,"seaweeds",2003,1,"prod_average"
1,"seaweeds",2004,1,"prod_average"
2,"seaweeds",2004,1,"prod_average"
1,"seaweeds",2005,1,"prod_average"
2,"seaweeds",2005,1,"prod_average"
1,"seaweeds",2006,1,"prod_average"
2,"seaweeds",2006,1,"prod_average"
1,"seaweeds",2007,0,NA
2,"seaweeds",2007,0,NA
1,"seaweeds",2008,0,NA
2,"seaweeds",2008,0,NA
1,"seaweeds",2009,0,NA
2,"seaweeds",2009,0,NA
1,"seaweeds",2010,0,NA
2,"seaweeds",2010,0,NA
1,"seaweeds",2011,0,NA
2,"seaweeds",2011,0,NA
1,"seaweeds",2012,0,NA
2,"seaweeds",2012,0,NA
1,"seaweeds",2013,0,NA
2,"seaweeds",2013,0,NA
1,"seaweeds",2014,0,NA
2,"seaweeds",2014,0,NA
1,"seaweeds",2015,0,NA
2,"seaweeds",2015,0,NA
1,"seaweeds",2016,0,NA
2,"seaweeds",2016,0,NA
1,"seaweeds",2017,0,NA
2,"seaweeds",2017,0,NA
1,"seaweeds",2018,0,NA
2,"seaweeds",2018,0,NA
1,"seaweeds",2019,0,NA
2,"seaweeds",2019,0,NA
1,"ornamentals",2006,0,NA
2,"ornamentals",2006,0,NA
1,"ornamentals",2007,0,NA
2,"ornamentals",2007,0,NA
1,"ornamentals",2008,0,NA
2,"ornamentals",2008,0,NA
1,"ornamentals",2009,0,NA
2,"ornamentals",2009,0,NA
1,"ornamentals",2010,0,NA
2,"ornamentals",2010,0,NA
1,"ornamentals",2011,0,NA
2,"ornamentals",2011,0,NA
1,"ornamentals",2012,0,NA
2,"ornamentals",2012,0,NA
1,"ornamentals",2013,0,NA
2,"ornamentals",2013,0,NA
1,"ornamentals",2014,0,NA
2,"ornamentals",2014,0,NA
1,"ornamentals",2015,0,NA
2,"ornamentals",2015,0,NA
1,"ornamentals",2016,0,NA
2,"ornamentals",2016,0,NA
1,"ornamentals",2017,0,NA
2,"ornamentals",2017,0,NA
1,"ornamentals",2018,0,NA
2,"ornamentals",2018,0,NA
1,"ornamentals",2019,0,NA
2,"ornamentals",2019,0,NA
